task_id,strategy,model,mutation_family,verdict,confidence,c1_complete,c2_equivalent,c3_minimal,c4_targeted,c5_family_aware,reasoning,tokens
cc_braindecode_maxnorm_shadow,contract_first,gpt-4.1-mini,semantic_shadow_mutation,FAIL,1.0,False,False,False,False,False,"The proposed patch is incomplete and syntactically broken, does not match the ground-truth logic (incorrect clamping and unfinished code), does not address the mutation family (semantic shadow), and does not make the minimal, targeted fix required.",1330
cc_braindecode_maxnorm_shadow,multi_view,gpt-4.1-mini,semantic_shadow_mutation,FAIL,1.0,False,False,False,False,False,"The proposed patch modifies the MaxNormParametrize class instead of the MaxNorm class, does not address the clamping logic in the forward method, and does not add the test comment, thus failing to address the mutation and ground-truth fix in both location and semantics.",1290
cc_braindecode_maxnorm_shadow,failure_mode_first,gpt-4.1-nano,semantic_shadow_mutation,FAIL,0.95,False,False,True,False,False,"The proposed patch only changes the right_inverse method, whereas the ground-truth patch changes the forward method; thus, it does not address the actual bug, is not equivalent, and does not target the correct location or mutation family pattern.",1267
cc_braindecode_maxnorm_shadow,pattern_skeleton,gpt-4.1-nano,semantic_shadow_mutation,FAIL,1.0,False,False,False,False,False,"The proposed patch rewrites the scaling logic in a way that is not semantically equivalent to the ground-truth fix, does not preserve the original lower bound logic, omits the minimal targeted change, and does not address the mutation family pattern of restoring the correct lower bound in the clamp operation.",1401
cc_braindecode_maxnorm_shadow,semantic_diff,gpt-4.1-nano,semantic_shadow_mutation,FAIL,0.95,False,False,False,False,False,"The proposed patch is incomplete and does not implement the required fix (changing the min clamp in denom to self.max_norm_val); it only adds a comment and an incomplete code fragment, failing to address the semantic shadow mutation or match the ground-truth patch.",1389
cc_braindecode_mixup_scalar_shadow,simulation_trace,gpt-4.1-mini,semantic_shadow_mutation,FAIL,0.0,False,False,False,False,False,"No patch content was provided, so it is impossible to determine if any of the required changes were made or if the mutation family was addressed.",1104
cc_braindecode_mixup_weight_trap,contract_first,gpt-4.1-mini,false_localization_trap,FAIL,1.0,False,False,False,False,False,"The proposed patch incompletely and incorrectly modifies the mixup weighting logic (removing the (1-lam)*loss_b term entirely), omits the necessary test comment restoration, and does not address the false localization trap mutation as the ground-truth does.",1388
cc_braindecode_mixup_weight_trap,direct_baseline,gpt-4.1-mini,false_localization_trap,FAIL,1.0,False,False,False,False,False,"The proposed patch incompletely and incorrectly modifies the mixup weighting (only applies lam to loss_a and omits loss_b entirely), and fails to restore the deleted test hint, thus not addressing all aspects of the ground-truth fix and not properly countering the false_localization_trap mutation.",1397
cc_braindecode_mixup_weight_trap,semantic_diff,gpt-4.1-mini,false_localization_trap,PASS,1.0,True,True,True,True,True,"The proposed patch restores the correct mixup weighting and removes the misleading hint in the test, matching the ground-truth patch in both intent and scope, with no unnecessary or misplaced changes.",1287
cc_braindecode_temporal_mask_misorder,contract_first,gpt-4.1-mini,temporal_state_inconsistency,FAIL,1.0,False,False,False,False,False,"The proposed patch slices the targets before masking, which is the original bug, and does not restore the correct order as in the ground-truth; it also leaves an incomplete line ('masked_targets'), fails to address the temporal_state_inconsistency, and does not match the ground-truth fix in logic or location.",1316
cc_braindecode_temporal_mask_misorder,direct_baseline,gpt-4.1-mini,temporal_state_inconsistency,FAIL,1.0,False,False,True,False,False,"The proposed patch makes no changes to the code and does not address the mutation or restore the correct ordering of slicing and masking, nor does it remove the misleading hint in the test.",1285
cc_braindecode_temporal_mask_misorder,failure_mode_first,gpt-4.1-mini,temporal_state_inconsistency,FAIL,1.0,False,False,False,False,False,"The proposed patch slices the targets before masking, which is the incorrect (buggy) order; the ground-truth patch masks before slicing to preserve temporal context, which is essential for this temporal_state_inconsistency mutation.",1298
cc_braindecode_temporal_mask_misorder,multi_view,gpt-4.1-mini,temporal_state_inconsistency,FAIL,1.0,False,False,False,False,False,"The proposed patch slices the targets before masking, which is the opposite of the ground-truth fix; this reintroduces the temporal inconsistency and does not address the mutation family, nor does it match the ground-truth's targeted and minimal changes.",1304
cc_braindecode_temporal_mask_misorder,pattern_skeleton,gpt-4.1-mini,temporal_state_inconsistency,FAIL,1.0,False,False,True,False,False,"The proposed patch slices the targets before masking, which is the incorrect order and does not restore the correct temporal context as required by the ground-truth fix; it fails to address the temporal_state_inconsistency mutation and does not match the ground-truth's logic or targeted location.",1310
cc_braindecode_temporal_mask_misorder,role_decomposed,gpt-4.1-mini,temporal_state_inconsistency,FAIL,1.0,False,False,True,True,False,"The proposed patch slices the targets before masking, which is the incorrect order and does not restore the correct temporal state handling as in the ground-truth; thus, it fails to address the temporal_state_inconsistency mutation.",1298
cc_braindecode_temporal_mask_misorder,semantic_diff,gpt-4.1-mini,temporal_state_inconsistency,FAIL,1.0,False,False,True,False,False,"The proposed patch slices the targets before masking, which is the buggy behavior the ground-truth patch corrects; it does not restore the correct order (mask then slice), so it fails to address the temporal_state_inconsistency mutation.",1301
cc_braindecode_temporal_mask_misorder,simulation_trace,gpt-4.1-mini,temporal_state_inconsistency,FAIL,1.0,False,False,False,False,False,"The proposed patch slices the targets before masking, which is the opposite of the ground-truth fix; this does not restore the correct temporal ordering and fails to address the temporal_state_inconsistency mutation, making the patch incomplete, not equivalent, not minimal, not targeted, and not family-aware.",1313
cc_braindecode_temporal_mask_misorder,contract_first,gpt-4.1-nano,temporal_state_inconsistency,FAIL,1.0,False,False,False,False,False,"The proposed patch slices targets before masking (opposite of ground-truth), does not restore the correct order, and introduces an incomplete line ('masked_targets'), thus failing to address the temporal_state_inconsistency and not matching the ground-truth fix.",1303
cc_braindecode_temporal_mask_misorder,failure_mode_first,gpt-4.1-nano,temporal_state_inconsistency,FAIL,1.0,False,False,True,True,False,"The proposed patch slices the targets before masking, which is the incorrect order and does not restore the correct temporal state handling as in the ground-truth patch; thus, it fails to address the temporal_state_inconsistency mutation.",1299
cc_braindecode_temporal_mask_misorder,multi_view,gpt-4.1-nano,temporal_state_inconsistency,FAIL,1.0,False,False,False,False,False,"The proposed patch slices the targets before masking, which is the opposite of the ground-truth fix (which masks before slicing), and it does not address the test file hint removal; thus, it is incomplete, not equivalent, not minimal, not targeted, and does not properly address the temporal_state_inconsistency mutation.",1318
cc_braindecode_temporal_mask_misorder,pattern_skeleton,gpt-4.1-nano,temporal_state_inconsistency,FAIL,1.0,False,False,True,True,False,"The proposed patch slices the targets before masking, which is the buggy behavior the ground-truth patch corrects; thus, it does not restore the correct temporal ordering required to handle stale context and NaN masking, failing to address the temporal_state_inconsistency mutation.",1307
cc_braindecode_temporal_mask_misorder,semantic_diff,gpt-4.1-nano,temporal_state_inconsistency,FAIL,1.0,False,False,True,False,False,"The proposed patch slices the targets before masking, which is the incorrect (buggy) order; it does not restore the correct order as in the ground-truth patch, thus failing to address the temporal_state_inconsistency mutation and not being semantically equivalent or family-aware.",1309
cc_braindecode_temporal_mask_misorder,simulation_trace,gpt-4.1-nano,temporal_state_inconsistency,FAIL,1.0,False,False,False,False,False,"The proposed patch slices the targets before masking, which is the opposite of the ground-truth fix (which masks before slicing), and it does not address the test file hint removal; thus, it is incomplete, not equivalent, not minimal, not targeted, and does not properly address the temporal_state_inconsistency mutation.",1318
cc_simtrade_cache_clear_incomplete,multi_view,gpt-4.1-mini,incomplete_patch_trap,FAIL,1.0,False,False,True,False,False,"The proposed patch only restores the original clear() implementation and does not reintroduce the popitem logic or the test hint, thus failing to address all aspects of the ground-truth fix and not being equivalent or family-aware.",1179
cc_simtrade_cache_clear_incomplete,role_decomposed,gpt-4.1-mini,incomplete_patch_trap,FAIL,1.0,False,False,True,False,False,"The proposed patch only calls self._data.clear() and does not restore the full cache wipe behavior (removing all entries via popitem loop) as in the ground-truth, nor does it update the test hint, thus failing to address the incomplete_patch_trap mutation.",1189
cc_simtrade_cache_lru_trap,simulation_trace,gpt-4.1-mini,false_localization_trap,FAIL,1.0,False,False,True,False,False,"The proposed patch makes no changes to the code and does not remove the '_move_to_end' call as required by the ground-truth patch, thus failing to address the mutation and the false localization trap.",1267
cc_simtrade_cache_ttl_dual,contract_first,gpt-4.1-mini,compensating_dual_mutation,FAIL,1.0,False,False,False,False,False,"The proposed patch removes the _ttl_in_ms logic and does not restore second-based TTL handling or the scaling logic, failing to address the mutation's intent and the ground-truth fix; it is neither complete, equivalent, minimal, nor family-aware.",1299
cc_simtrade_cache_ttl_dual,direct_baseline,gpt-4.1-mini,compensating_dual_mutation,FAIL,1.0,False,False,False,False,False,"The proposed patch removes the mechanism for millisecond-based TTL handling and does not restore the _ttl_in_ms flag or the effective_ttl calculation, failing to address the compensating dual mutation and not matching the ground-truth fix in logic or location.",1307
cc_simtrade_cache_ttl_dual,failure_mode_first,gpt-4.1-mini,compensating_dual_mutation,FAIL,1.0,False,False,False,False,False,"The proposed patch removes the critical line that sets '_ttl_in_ms' and does not implement the effective TTL calculation or its use in 'expire_at', thus failing to restore correct TTL handling and not addressing the compensating_dual_mutation pattern.",1359
cc_simtrade_cache_ttl_dual,multi_view,gpt-4.1-mini,compensating_dual_mutation,FAIL,1.0,False,False,False,False,False,"The proposed patch removes the critical line that sets the _ttl_in_ms attribute and does not implement the effective TTL scaling logic, thus failing to restore correct second-based TTL handling and not addressing the compensating dual mutation pattern.",1352
cc_simtrade_cache_ttl_dual,pattern_skeleton,gpt-4.1-mini,compensating_dual_mutation,FAIL,1.0,False,False,False,False,False,"The proposed patch removes both the scaling logic and the _ttl_in_ms flag, failing to restore second-based TTL handling and not addressing the compensating dual mutation; it does not match the ground-truth fix in logic, location, or intent.",1298
cc_simtrade_cache_ttl_dual,role_decomposed,gpt-4.1-mini,compensating_dual_mutation,FAIL,0.0,False,False,False,False,False,"API error: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4.1 in organization org-DT3VkzJXtJuxLn4ODdvY3QY1 on tokens per min (TPM): Limit 30000, Used 29084, Requested 1251. Please try again in 670ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",0
cc_simtrade_cache_ttl_dual,semantic_diff,gpt-4.1-mini,compensating_dual_mutation,FAIL,1.0,False,False,False,False,False,"The proposed patch removes the _ttl_in_ms logic and does not restore second-based TTL handling or the coordination between the decorator and MemoryCache, failing to address the mutation and the compensating dual mutation pattern.",1290
cc_simtrade_cache_ttl_dual,simulation_trace,gpt-4.1-mini,compensating_dual_mutation,FAIL,1.0,False,False,False,False,False,"The proposed patch does not restore the second-based TTL handling or the scaling logic as in the ground-truth; it removes the scaling flag and does not implement the required logic, failing to address the compensating dual mutation and not making the necessary changes in the correct locations.",1372
cc_simtrade_cache_ttl_dual,contract_first,gpt-4.1-nano,compensating_dual_mutation,FAIL,1.0,False,False,False,False,False,"The proposed patch removes the _ttl_in_ms logic and does not restore second-based TTL handling or the coordination between the decorator and MemoryCache, failing to address the mutation's compensating dual nature and not matching the ground-truth fix.",1296
cc_simtrade_cache_ttl_dual,failure_mode_first,gpt-4.1-nano,compensating_dual_mutation,FAIL,0.0,False,False,False,False,False,"API error: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4.1 in organization org-DT3VkzJXtJuxLn4ODdvY3QY1 on tokens per min (TPM): Limit 30000, Used 29803, Requested 1242. Please try again in 2.09s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",0
cc_simtrade_cache_ttl_dual,pattern_skeleton,gpt-4.1-nano,compensating_dual_mutation,FAIL,1.0,False,False,False,False,False,"The proposed patch removes both the _ttl_in_ms flag and the effective TTL calculation, failing to restore second-based TTL handling and not addressing the compensating dual mutation; it does not make the necessary changes present in the ground-truth patch.",1297
cc_simtrade_cache_ttl_dual,role_decomposed,gpt-4.1-nano,compensating_dual_mutation,FAIL,0.0,False,False,False,False,False,"API error: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4.1 in organization org-DT3VkzJXtJuxLn4ODdvY3QY1 on tokens per min (TPM): Limit 30000, Used 29680, Requested 1251. Please try again in 1.862s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",0
cc_simtrade_cache_ttl_dual,simulation_trace,gpt-4.1-nano,compensating_dual_mutation,FAIL,1.0,False,False,False,False,False,The proposed patch removes the TTL scaling mechanism entirely instead of restoring correct second-based TTL handling and the _ttl_in_ms flag as in the ground-truth; it does not address the mutation's compensating dual nature and fails to make the necessary changes in both files.,1371
